Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress ScoreÂ®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
running,20/02/2019 18:03,FALSE,Wokingham Running,5.01,547,00:36:21,151,194,3.5,156,167,07:16,06:02,8,8,0.88,0,0,0,0,0,00:00,0,00:00,No,06:56.0,6,0
running,18/02/2019 18:16,FALSE,Wokingham Running,5,516,00:37:34,143,157,3.2,155,168,07:30,06:05,8,8,0.86,0,0,0,0,0,00:00,0,00:00,No,07:17.2,6,0
running,17/02/2019 10:48,FALSE,Erewash Running,5.01,585,00:35:51,162,179,3.9,159,167,07:10,05:46,6,8,0.88,0,0,0,0,0,00:00,0,00:00,No,06:41.8,6,0
running,14/02/2019 17:59,FALSE,Wokingham Running,5.01,546,00:36:51,149,164,3.4,157,165,07:22,05:31,7,7,0.87,0,0,0,0,0,00:00,0,00:00,No,06:54.5,6,0
running,12/02/2019 18:47,FALSE,Wokingham Running,5.01,545,00:36:41,151,174,3.5,156,168,07:20,05:54,9,8,0.87,0,0,0,0,0,00:00,0,00:00,No,06:55.6,6,0
running,09/02/2019 10:42,FALSE,Wirral Running,5.01,553,00:36:56,152,174,3.5,157,169,07:23,05:38,36,36,0.86,0,0,0,0,0,00:00,0,00:00,No,06:33.5,6,0
running,07/02/2019 18:59,FALSE,Wokingham Running,5.01,529,00:36:21,149,167,3.4,157,167,07:16,05:51,6,5,0.88,0,0,0,0,0,00:00,0,00:00,No,06:47.1,6,0
running,05/02/2019 19:07,FALSE,Wokingham Running,5.01,522,00:36:56,145,176,3.3,157,170,07:23,06:06,5,5,0.86,0,0,0,0,0,00:00,0,00:00,No,07:06.3,6,0
running,03/02/2019 12:40,FALSE,Wokingham Running,5.01,500,00:36:09,143,158,3.2,157,170,07:13,05:49,9,8,0.88,0,0,0,0,0,00:00,0,00:00,No,06:42.4,6,0
running,31/01/2019 18:50,FALSE,Wokingham Running,5.01,537,00:37:08,147,161,3.3,156,165,07:25,05:52,9,7,0.86,0,0,0,0,0,00:00,0,00:00,No,07:02.1,6,0
running,29/01/2019 17:54,FALSE,Wokingham Running,5.01,543,00:37:54,147,161,3.2,154,169,07:34,06:05,6,6,0.86,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,26/01/2019 13:10,FALSE,Wokingham Running,10.01,"1,131",01:15:55,155,171,4.2,154,168,07:35,05:56,19,19,0.86,0,0,0,0,0,00:00,0,00:00,No,00:00.0,11,0
running,23/01/2019 18:27,FALSE,Wokingham Running,5,583,00:37:04,157,178,3.7,155,227,07:24,05:46,7,7,0.87,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,21/01/2019 09:09,FALSE,Wokingham Running,5.01,539,00:35:43,152,169,3.4,157,165,07:08,05:40,9,9,0.89,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,18/01/2019 08:50,FALSE,Wokingham Running,5.01,543,00:35:32,154,172,3.6,158,170,07:06,05:45,--,5,0.89,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,16/01/2019 18:31,FALSE,Wokingham Running,5.01,479,00:36:09,138,169,3.1,156,165,07:13,05:57,8,8,0.89,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,14/01/2019 18:43,FALSE,Wokingham Running,5,558,00:36:02,152,168,3.5,156,166,07:12,05:39,8,8,0.89,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,13/01/2019 10:14,FALSE,Wokingham Running,5.01,460,00:35:55,138,170,3,157,167,07:10,06:01,3,7,0.89,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
